property_name,breadcrumbs,price,image_url,description,seller_name,location,property_type,bathrooms,bedrooms
"2 BHK FURNISHED FLAT FOR RENT AT THONDAYAD BYEPASS , CALICUT","Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,2 BHK FURNISHED FLAT FOR RENT AT THONDAYAD BYEPASS , CALICUT","{'amount': '30000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/8uvmyqyv075d3-IN/image;s=850x0,"2 BHK FURNISHED FLAT FOR RENT NEAR CYBER PARK AND HILITE MALL,RENT 30000+ MNC,ADVANCE 3 MONTHS RENT,ANOTHER FLAT FOR RENT :-,* 3 bhk furnished flat for rent near calicut beach 30000+ mnc,* 2 bhk furnished flat for rent malapparab 23000+ mnc,* 1 bhk furnished flat for rent thondayad byepass near hilite mall 20000+mnc,* 4 bhk furnished flat for rent near ymca town 60000+ mnc,* 3 bhk furnished flat for rent near karaparamb rent 30000+ mnc,* 2 bhk furnished flat for rent near mankave 25000+ mnc,* 3 bhk semi furnished flat for rent near meenchanda 27000+ mnc,* 2 bhk furnished flat for rent at karaparamb 25000+ mnc,* 3 bhk semi furnished  flat for rent near puspha junction 25000+ mnc,* 2 bhk furnished flat for rent near meenchanda rent 25000+ mnc,* 2 bhk semi furnished flat for rent near methoduthzam rent 18000,* 2 bhk furnished flat for rent near cyber park and hilite mall rent 26000+ mnc,* 3 bhk semi furnished flat for rent HILITE city rent 35000,* 3 bhk semi furnished flat for rent erahipalam rent 27000+ mnc,* 2 bhk furnished flat for rent nadakave rent 25000+ mnc,* 3 bhk furnished flat for rent near west hill 35000,* 2 bhk furnished flat for rent kottoli rent 30000,* 2 bhk semi furnished flat for rent near calicut beach 20000+ mnc,* 2 bhk semi furnished flat for rent near karaparamb 20000+ mnc,* 3 bhk furnished flat for rent near sarovaram park 35000+ mnc,* 2 bhk furnished flat for rent HILITE city 30000+ mnc,* 1 bhk furnished flat for rent near land mark world 22000,* studio flat for rent land mark world 20000,* 3 bhk semi furnished flat for rent near pottamal rent 26000",JAZZ ASSOCIATES,"Thondayad, Kozhikode, Kerala",Flats / Apartments,3,2
HOUSE FOR RENT NEAR SHIVA TEMPLE THIRUVANNUR CALICUT,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thiruvannur,HOUSE FOR RENT NEAR SHIVA TEMPLE THIRUVANNUR CALICUT","{'amount': '15000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/803u6lkrq2zq-IN/image;s=850x0,HOUSE FOR RENT NEAR SHIVA TEMPLE THIRUVANNUR CALICUT  TWO WHEELER PARKING ONLY WELL WITH GOOD WATER BACHELOR ALLOWED,PAVITHRA,"Thiruvannur, Kozhikode, Kerala",Individual House / Villa,4,3
3BHK - FURNISHED FLAT - HILITE CITY,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,3BHK - FURNISHED FLAT - HILITE CITY","{'amount': '40000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/z2w5dmju4zjw1-IN/image;s=850x0,"3 BHK FURNISHED FLAT FOR RENT NEAR HILITE MALL,RENT 40000+ MNC,ADVANCE 3 MONTHS RENT,Amenities :-,Swamming pool,Gym,Childrens play area,Games room,Party hall,Opan area,Garden,Visitors car parking,Grand lobby,Guest room,24 hrs security,CCTV,Waste management,Super market,Cafe,Football tuff,Sudlue court,General stores,Saloon,Guest room,ANOTHER FLAT FOR RENT :-,* 3 bhk furnished flat for rent near calicut beach 30000+ mnc,* 2 bhk furnished flat for rent malapparab 23000+ mnc,* 1 bhk furnished flat for rent thondayad byepass near hilite mall 20000+mnc,* 4 bhk furnished flat for rent near ymca town 60000+ mnc,* 3 bhk furnished flat for rent near karaparamb rent 30000+ mnc,* 2 bhk furnished flat for rent near mankave 25000+ mnc,* 3 bhk semi furnished flat for rent near meenchanda 27000+ mnc,* 2 bhk furnished flat for rent at karaparamb 25000+ mnc,* 3 bhk semi furnished  flat for rent near puspha junction 25000+ mnc,* 2 bhk furnished flat for rent near meenchanda rent 25000+ mnc,* 2 bhk semi furnished flat for rent near methoduthzam rent 18000,* 2 bhk furnished flat for rent near cyber park and hilite mall rent 26000+ mnc,* 3 bhk semi furnished flat for rent HILITE city rent 35000,* 3 bhk semi furnished flat for rent erahipalam rent 27000+ mnc,* 2 bhk furnished flat for rent nadakave rent 25000+ mnc,* 3 bhk furnished flat for rent near west hill 35000,* 2 bhk furnished flat for rent kottoli rent 30000,* 2 bhk semi furnished flat for rent near calicut beach 20000+ mnc,* 2 bhk semi furnished flat for rent near karaparamb 20000+ mnc,* 3 bhk furnished flat for rent near sarovaram park 35000+ mnc,* 2 bhk furnished flat for rent HILITE city 30000+ mnc,* 1 bhk furnished flat for rent near land mark world 22000,* studio flat for rent land mark world 20000,* 3 bhk semi furnished flat for rent near pottamal rent 26000",JAZZ ASSOCIATES,"Thondayad, Kozhikode, Kerala",Flats / Apartments,3,3
Home upstair,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Kamburam Beach,Home upstair","{'amount': '13000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/r0bscsyo1v6i3-IN/image;s=850x0,"Home upstair 2 bath attached bedroom, kitchen, hall and balcony",Vinesh,"Kamburam Beach, Kozhikode, Kerala",Independent / Builder Floors,2,2
ഫർണിച്ചർ വീട് വാടകയ്ക്ക് തൊണ്ടയാട്,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Chevayoor,ഫർണിച്ചർ വീട് വാടകയ്ക്ക് തൊണ്ടയാട്","{'amount': '32000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/ekdhos7qqux03-IN/image;s=850x0,ബസ്റ്റോപ്പിൽ നിന്നും 300 മീറ്റർ ദൂരം,HPK,"Chevayoor, Kozhikode, Kerala",Individual House / Villa,4,4
New house for rent,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Mankavu,New house for rent","{'amount': '25000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/co6e0uw9m8o93-IN/image;s=850x0,For rental purpose,Appu Appu,"Mankavu, Kozhikode, Kerala",Individual House / Villa,3,3
Charming 2 Bedroom Apartment in Kozhikode City,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Arayedathupalam,Charming 2 Bedroom Apartment in Kozhikode City","{'amount': '18500', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/77rhgfd9zxo22-IN/image;s=850x0,"This beautiful 2-bedroom, 2-bathroom apartment on the 1st floor offers a comfortable and peaceful living space with a lovely pond-facing sit-out. The apartment also includes a spacious dining hall and a well-equipped kitchen, ideal for small families, professionals, bank employees, and healthcare workers.,Features:,Bedrooms: 2,Bathrooms: 2,Dining Hall: Spacious, perfect for family meals and gatherings,Kitchen: Modern and well-ventilated,Sit-Out: Scenic pond view for relaxation,Parking: Secure car parking available,Location Perks:,Walking Distance: Baby Memorial Hospital, New Bus Stand, RP Mall, Planetarium, Zoological Survey of India, and other key amenities,Flexible Rent Options: Available for monthly, weekly, or yearly rent,Ideal for: Small families, professionals, bank employees, and nurses seeking a peaceful yet well-connected place to call home. ,No agents or brokers, please.,If you’re looking for a cozy, convenient, and well-maintained rental, contact us today to arrange a viewing!",Surendran,"Arayedathupalam, Kozhikode, Kerala",Flats / Apartments,2,2
2 bhk furnished apartment near civil station,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Calicut Civil Station,2 bhk furnished apartment near civil station","{'amount': '20000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/filpkgnp72ba1-IN/image;s=850x0,2  bhk furnished apartment,CARFIN homes,"Calicut Civil Station, Kozhikode, Kerala",Flats / Apartments,2,2
ladies stay sharing based 2bhk Hotspot,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Calicut Civil Station,ladies stay sharing based 2bhk Hotspot","{'amount': '5500', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/n29ryqqwtq0l3-IN/image;s=850x0,"It’s a duplex home with 3 bedrooms,2 rooms already occupied ,1 room 2 people can share (ladies only),One bed/wall drobes/ fan,Hall can be shared furnished (sofa),Kitchen also sharing ,Cooking individually with own stuffs,Stove, oven, fridge can be shared,Washing machine not included ( washing area provided),AC also cannot be used as electricity bills are sharing. ,3 days servant will clean (maintain neatness ),Toilet (European )is first floor ,Toilet (Indian) at GF,Bikes can be parked (cars not allowed),Nearby supermarkets, masjid, church, bus stop, hotels all are available!,Prime location near to Eranhipalam.",Nazz,"Calicut Civil Station, Kozhikode, Kerala",Flats / Apartments,1,1
2 BHK Apartment at kommeri(Methottuthazham)Kozhikode 673007.,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Kommeri,2 BHK Apartment at kommeri(Methottuthazham)Kozhikode 673007.","{'amount': '13000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/nukm7g9eurk32-IN/image;s=850x0,"* Newly constructed apartment,* Fast access to highway bypass ,* 1.5 km distance to cyber park,* 2 km distance to hi lite mall,* 2 km to mims hospital &mini bypass.,* Rent per month Rs.13000(negotiable)",ashraf ali,"Kommeri, Kozhikode, Kerala",Flats / Apartments,2,2
22k20k16k13k11k,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Mankavu,22k20k16k13k11k","{'amount': '13000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/xyjtixdaayv8-IN/image;s=850x0,Job trhser,Rasheed,"Mankavu, Kozhikode, Kerala",Independent / Builder Floors,3,3
2BHK FURNISHED FLAT FOR RENT AT LAND MARK WORLD,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,2BHK FURNISHED FLAT FOR RENT AT LAND MARK WORLD","{'amount': '26000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/2zcyscsk7xv41-IN/image;s=850x0,"2 BHK FURNISHED FLAT FOR RENT NEAR THONDAYAD BYEPASS,Amenities :-,Swamming pool,Gym,Childrens play area,Games room,Party hall,Opan area,Garden,Visitors car parking,Grand lobby,Guest room,24 hrs security,CCTV,Waste management,Super market,Cafe,Club house,RENT 26000,ADVANCE 3 MONTHS RENT,ANOTHER FLAT FOR RENT :-,* 3 bhk furnished flat for rent near calicut beach 30000+ mnc,* 2 bhk furnished flat for rent malapparab 23000+ mnc,* 1 bhk furnished flat for rent thondayad byepass near hilite mall 20000+mnc,* 4 bhk furnished flat for rent near ymca town 60000+ mnc,* 3 bhk furnished flat for rent near karaparamb rent 30000+ mnc,* 2 bhk furnished flat for rent near mankave 25000+ mnc,* 3 bhk semi furnished flat for rent near meenchanda 27000+ mnc,* 2 bhk furnished flat for rent at karaparamb 25000+ mnc,* 3 bhk semi furnished  flat for rent near puspha junction 25000+ mnc,* 2 bhk furnished flat for rent near meenchanda rent 25000+ mnc,* 2 bhk semi furnished flat for rent near methoduthzam rent 18000,* 2 bhk furnished flat for rent near cyber park and hilite mall rent 26000+ mnc,* 3 bhk semi furnished flat for rent HILITE city rent 35000,* 3 bhk semi furnished flat for rent erahipalam rent 27000+ mnc,* 2 bhk furnished flat for rent nadakave rent 25000+ mnc,* 3 bhk furnished flat for rent near west hill 35000,* 2 bhk furnished flat for rent kottoli rent 30000,* 2 bhk semi furnished flat for rent near calicut beach 20000+ mnc,* 2 bhk semi furnished flat for rent near karaparamb 20000+ mnc,* 3 bhk furnished flat for rent near sarovaram park 35000+ mnc,* 2 bhk furnished flat for rent HILITE city 30000+ mnc,* 1 bhk furnished flat for rent near land mark world 22000,* studio flat for rent land mark world 20000,* 3 bhk semi furnished flat for rent near pottamal rent 26000",JAZZ ASSOCIATES,"Thondayad, Kozhikode, Kerala",Flats / Apartments,2,2
2 BHK - FURNISHED FLAT - HILITE CITY,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,2 BHK - FURNISHED FLAT - HILITE CITY","{'amount': '32000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/klvntwygk95e1-IN/image;s=850x0,"2 bhk furnished flat for rent at hilite city,Rent 32000+ mnc,Advance 1L,Amenities :-,Swamming pool,Gym,Childrens play area,Games room,Party hall,Opan area,Garden,Visitors car parking,Grand lobby,Guest room,24 hrs security,CCTV,Waste management,Cafe,Super market,General store,Football turf,Guest room",JAZZ ASSOCIATES,"Thondayad, Kozhikode, Kerala",Flats / Apartments,2,2
2 BHK FURNISHED UPSTAIR PORTION HOUSE FOR RENT NEAR MIMS HOSPITAL,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Mankavu,2 BHK FURNISHED UPSTAIR PORTION HOUSE FOR RENT NEAR MIMS HOSPITAL","{'amount': '23000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/ow3yfkqhjqjq1-IN/image;s=850x0,"Branded flat for rent & sale available in calicut  ,2 BHK FURNISHED UPSTAIR PORTION HOUSE FOR RENT NEAR MIMS HOSPITAL,located in a prime location ,* very close : Mims hospital, mankave, lulu mall, govindhapuram, chalappuram, puthiyara, baby memorial hospital, arayedathupalam ,Car parking area,Expecting Rent : 23000/-, ,Note : Images shown are for representation purpose only .actual building differ .,Call between :10am  -7pm (Sunday off)",PROPERTY HUB,"Mankavu, Kozhikode, Kerala",Individual House / Villa,2,2
Luxury studio flat for rent near hilite business park,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,Luxury studio flat for rent near hilite business park","{'amount': '18000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/uadby4wxa7fr2-IN/image;s=850x0,"Luxury studio flat for rent near hilite mall and cyberpark calicut,Ready to move,Fully furnished,Excellent view,Very near to cyberpark and hilite mall, nesto hypermarket, ulcc, metro cardiac hospital etc,Easy to access calicut airport,Looking small familes, doctors, professional, IT, business, etc.,Rent 18k",PN PROPERTIES,"Thondayad, Kozhikode, Kerala",Flats / Apartments,1,1
House for rent,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Kottuli,House for rent","{'amount': '16000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/z9qvvp28wi5n3-IN/image;s=850x0,2 bhk first floor house for rent,Dr. Sanjana,"Kottuli, Kozhikode, Kerala",Individual House / Villa,2,2
2 BHK SEMI FURNISHED FLAT FOR RENT,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Pottammal,2 BHK SEMI FURNISHED FLAT FOR RENT","{'amount': '20000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/rlb2a5qjh0uw-IN/image;s=850x0,"2bhk flat for rent near cyber park,Ready to move ,Car parking ,Well mentained association,Gym,pool,Security ,Near shops, supermarket, school, bank, atm, mall, it park, hospital, are available ,Very near to Oxford school, cyber park, hilite mall, business park, metro hospital etc,Rent : 20k",MY DEAL ASSOCIATES,"Pottammal, Kozhikode, Kerala",Flats / Apartments,2,2
"2 bhk House, Pottammal","Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Pottammal,2 bhk House, Pottammal","{'amount': '12000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/lsor35ujjeuv-IN/image;s=850x0,2 bhk house for rent,D Real,"Pottammal, Kozhikode, Kerala",Individual House / Villa,1,2
House for Rent,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Eranjipalam,House for Rent","{'amount': '12000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/8xji6nwfzltm1-IN/image;s=850x0,1 BHK House for family or ladies,Bineesh ,"Eranjipalam, Kozhikode, Kerala",Individual House / Villa,1,1
West hill chungam 2 BHK house upstairs for rent.only bachelors.,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in West Hill Chungam,West hill chungam 2 BHK house upstairs for rent.only bachelors.","{'amount': '15000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/cvjw7jnmp9052-IN/image;s=850x0,"West hill chungam 2 BHK house upstairs for rent.only bachelors,600 m d from karaparamba.,Rent 15000,Advance 50000,Ph 96⁴56575¹6",96456575I6,"West Hill Chungam, Kozhikode, Kerala",Individual House / Villa,,2
"APARTMENT GROUND FLOOR  FOR RENT NEAR LULU MALL, CALICUT.","Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Mankavu,APARTMENT GROUND FLOOR  FOR RENT NEAR LULU MALL, CALICUT.","{'amount': '17000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/4utbtusv4mhl-IN/image;s=850x0,"APARTMENT GROUND FLOOR  FOR RENT NEAR LULU MALL, CALICUT.,2 BED ROOMATTACHED, HALL, KITCHEN,KWA WATER &WELL WATER,CAR SITE.(FAMILY OR LADIES ONLY),ADVANCE:50000/-,RENT:17000/-",Super Deal,"Mankavu, Kozhikode, Kerala",Flats / Apartments,2,2
2bhk Semi furnished luxury flat for rent near methottuthazham calicut,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,2bhk Semi furnished luxury flat for rent near methottuthazham calicut","{'amount': '26000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/ukt54nvbz8j51-IN/image;s=850x0,"2bhk Semi furnished luxury flat for rent near methottuthazham calicut.,Ready to move ,Car parking,Luxury furnished,Brand new flat,Very near to cyberpark and hilte mall,Easy to access Lulu mall etc,Rent 26k",PN PROPERTIES,"Thondayad, Kozhikode, Kerala",Flats / Apartments,3,3
2 BHK SEMI FURNISHED FLAT FOR RENT NEAR KARAPARAMB,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Karaparamba,2 BHK SEMI FURNISHED FLAT FOR RENT NEAR KARAPARAMB","{'amount': '25000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/o81ld39719d71-IN/image;s=850x0,"2 bhk furnished flat for rent near karaparamb,Rent 25000,Advance 3 months rent,Amenities :-,Swamming pool,Gym,Childrens play area,Games room,Party hall,Opan area,Garden,Visitors car parking,Grand lobby,Guest room,24 hrs security,CCTV,Waste management",JAZZ ASSOCIATES,"Karaparamba, Kozhikode, Kerala",Flats / Apartments,2,3
2 BHK BRAND NEW FLAT FOR RENT,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Pottammal,2 BHK BRAND NEW FLAT FOR RENT","{'amount': '25000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/w3z1b14wlkyj1-IN/image;s=850x0,"2bhk brand new flat for rent near cyber park,Good interior ,Ready to move ,Car parking,Gym,pool,Security ,Well mentained association ,Near shops, supermarket, school, bank, atm, mall, it park, hospital, are available ,Very near to Oxford school, cyber park, hilite mall, business park, metro hospital etc,Rent : 25k",MY DEAL ASSOCIATES,"Pottammal, Kozhikode, Kerala",Flats / Apartments,2,2
HOUSE FOR RENT IN EASTHILL CALICUT,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in East Hill,HOUSE FOR RENT IN EASTHILL CALICUT","{'amount': '12500', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/v1we22b4cxng-IN/image;s=850x0,"Ground Floor portion of a beautiful double storied concrete house building in 6 cents plot in a calm and quiet residential area near Pisharikavu temple  (hardly a km from Easthill junction) Calicut. Marble flooring, bed room-one attached ane One common bath, entry hall with a good sight view portico with. Big windows and doors in teak, and Irrool. kitchen with all facilities. Safe with compound wall and tiled car porch, good well water and a cool shade with  trees in the compound borders. Two minutes walk to the nearest bus stop and shops, milk company and Pisharikavu temple. A pleasant stay without city hassles with easy access to all city comforts.",Vijay,"East Hill, Kozhikode, Kerala",Flats / Apartments,2,2
"FURNISHEDGROUND FLOOR FOR RENT CHEVARAMBALAM ,CALICUT.","Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Chevarambalam,FURNISHEDGROUND FLOOR FOR RENT CHEVARAMBALAM ,CALICUT.","{'amount': '200003', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/dezs6gsrmcv41-IN/image;s=850x0,"FURNISHEDGROUND FLOOR FOR RENT CHEVARAMBALAM ,CALICUT.,2 BED ROOM 2 BATHROOM, HALL,KITCHEN,WELL WATER,CAR SITE.,ADVANCE:60000/-,RENT:20000/-",Super Deal,"Chevarambalam, Kozhikode, Kerala",Individual House / Villa,2,2
"FURNISHED INDEPENDENT HOUSE FOR RENT IRINGADAN PALLI  KOVOOR ,CALICUT.","Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Kovoor,FURNISHED INDEPENDENT HOUSE FOR RENT IRINGADAN PALLI  KOVOOR ,CALICUT.","{'amount': '15000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/z2uff5spovfu3-IN/image;s=850x0,"FURNISHED INDEPENDENT HOUSE FOR RENT IRINGADAN PALLI  KOVOOR ,CALICUT.,3 BED ROOM 2 BATHROOM, HALL,KITCHEN,WELL WATER,CAR SITE.,ADVANCE:50000/-,RENT:15000/-",Super Deal,"Kovoor, Kozhikode, Kerala",Individual House / Villa,2,3
FURNISHED APARTMENT FOR RENT NEAR MIMS HOSPITAL CALICUT.,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Govindapuram,FURNISHED APARTMENT FOR RENT NEAR MIMS HOSPITAL CALICUT.","{'amount': '19000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/qk0sv1diq3rs2-IN/image;s=850x0,"FURNISHED APARTMENT FOR RENT NEAR MIMS HOSPITAL CALICUT.,2BED ROOM ATTACHED, HALL, KITCHEN, WELL WATER &KWA WATER, CAR SITE.,ADVANCE:38000/-,RENT:19000/-(MONTHLY RENT)",Super Deal,"Govindapuram, Kozhikode, Kerala",Flats / Apartments,2,2
Kozhikode kovoor 500 m from medical college,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Kovoor,Kozhikode kovoor 500 m from medical college","{'amount': '15000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/3e754qdi8ifn1-IN/image;s=850x0,Single house,Shaji KP,"Kovoor, Kozhikode, Kerala",Individual House / Villa,2,2
3 BHK SEA VIEW FLAT FOR RENT SEMI,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Calicut Beach,3 BHK SEA VIEW FLAT FOR RENT SEMI","{'amount': '36000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/m3qs5p45ha191-IN/image;s=850x0,"3bhk sea view flat for rent semi furnished ,Newly renovated ,Good interior ,Ready to move ,Gym,pool,Car parking ,Security ,Well mentained association ,Near shops, supermarket, school, bank, atm, mall, it park, hospital, are available ,Very near to ksrtc, puthiyastand, railway station, beach hospital, etc,Rent : 36k",MY DEAL ASSOCIATES,"Calicut Beach, Kozhikode, Kerala",Flats / Apartments,2,3
Men's hostel,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thadambattuthazham,Men's hostel","{'amount': '3000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/at2gy478gvjr3-IN/image;s=850x0,Men's hostel,Safuvan,"Thadambattuthazham, Kozhikode, Kerala",Flats / Apartments,4+,4+
"GROUND FLOOR FOR RENT CHEVARAMBALAM ,CALICUT.","Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Chevarambalam,GROUND FLOOR FOR RENT CHEVARAMBALAM ,CALICUT.","{'amount': '13000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/t42mm3n0m8ov2-IN/image;s=850x0,"GROUND FLOOR FOR RENT CHEVARAMBALAM ,CALICUT.,2 BED ROOM,2 BATH ROOM,HALL,KITCHEN,WELL WATER,CAR SITE.,ADVANCE:40000/-,RENT:13000/-",Super Deal,"Chevarambalam, Kozhikode, Kerala",Individual House / Villa,2,2
"GROUND FLOOR FOR RENT CHEVAYOOR, CALICUT.","Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Chevayoor,GROUND FLOOR FOR RENT CHEVAYOOR, CALICUT.","{'amount': '15000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/0tckggtnmuo93-IN/image;s=850x0,"GROUND FLOOR FOR RENT CHEVAYOOR, CALICUT.,3 BED ROOM, 2 BATH ROOM, HALL, KITCHEN,KWA WATER& GOOD WELL WATER,CAR SITE.(LADIES ARE ALLOWED),ADVANCE:50000/-,RENT:15000/-",Super Deal,"Chevayoor, Kozhikode, Kerala",Individual House / Villa,2,3
BACHELOURS ALLOWED FULL FURNISHED HOUSE FOR RENT NEAR MIMS HOSPITAL,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Govindapuram,BACHELOURS ALLOWED FULL FURNISHED HOUSE FOR RENT NEAR MIMS HOSPITAL","{'amount': '30000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/nadjac8bynvz-IN/image;s=850x0,"BACHELOURS ALLOWED FULL FURNISHED HOUSE FOR RENT NEAR MIMS HOSPITAL CALICUT,ADVANCE 1.5 LAKHS ,RENT 30000,MOB  93    4  9      1 5      5   6     9   6",Super Deal,"Govindapuram, Kozhikode, Kerala",Individual House / Villa,3,3
